Patrik 	19. 02.
Pavla 	22. 06.
Pavlína 	31. 08.
Petr 	22. 02.
Petr a Pavel 	29. 06.
Petra 	17. 08.
Pravoslav 	12. 01.
Prokop 	4. 07.
Přemysl 	16. 05.
R
Radana 	15. 12.
Radek 	21. 03.
Radka 	14. 09.
Radim 	25. 08.
Radmila 	3. 01.
Radomil 	10. 04.
Radomír 	3. 07.
Radoslav 	6. 05.
Radovan 	14. 01.
Regína 	7. 09.
Renáta 	13. 10.
René 	28. 11.
Richard 	3. 04.
Robert 	29. 04.
Robin 	30. 01.
Roland 	14. 06.
Roman 	9. 08.
Romana 	18. 11.
Rostislav 	19. 04.
Rudolf 	17. 04.
Rút 	14. 03.
Růžena 	13. 03.
Ř
Řehoř 	12. 03.
S
Sabina 	22. 10.
Samuel 	1. 09.
Sandra 	23. 08.
Sára 	9. 10.
Saskie 	7. 11.
Sáva 	14. 11.
Servác 	13. 05.
Silvestr 	31. 12.
Silvie 	29. 10.
Simona 	12. 12.
Slavěna 	12. 02.
Slavoj 	7. 06.
Slavomír 	22. 01.
Soběslav 	8. 08.
Soňa 	28. 03.
Stanislav 	7. 05.
Stanislava 	9. 06.
Stela 	4. 03.
Svatava 	11. 05.
Svatopluk 	23. 02.
Svatoslav 	3. 12.
Světlana 	20. 03.
Sylva 	29. 10.
Š
Šárka 	30. 06.
Šarlota 	27. 10.
Šimon 	22. 12.
Štefan 	9. 10.
Štěpán 	26. 12.
Štěpánka 	31. 10.
T
Tadeáš 	30. 10.
Tamara 	3. 06.
Taťána 	29. 03.
Teodor 	23. 10.
Tereza 	15. 10.
Tibor 	13. 11.
Tomáš 	7. 03.

Tobiáš 2. 11.
V
Václav 	28. 09.
Valdemar 	27. 05.
Valentýn 	14. 02.
Valérie 	18. 04.
Vanda 	6. 02.
Vanesa 24. 05.
Vavřinec 	10. 08.
Věnceslav 	13. 02.
Vendelín 	20. 10.
Vendula 	6. 04.
Věra 	8. 10.
Veronika 	7. 02.
Věroslav 	27. 07.
Viktor 	28. 07.
Viktorie 	10. 03.
Vilém 	28. 05.
Vilma 	7. 01.
Vincenc 	14. 04.
Viola 	25. 05.
Vít 	15. 06.
Vítězslav 	21. 07.
Vladan 	9. 01.
Vladěna 	30. 08.
Vladimír / Vladimíra 	23. 05.
Vladislav 	18. 01.
Vlasta 	23. 12.
Vlastibor 	14. 03.
Vlastimil 	17. 03.
Vlastislav 	28. 04.
Vojtěch 	23. 04.
Vratislav 	9. 12.
X
Xenie 	27. 11.
Z
Zbyněk 	16. 06.
Zbyšek 	20. 05.
Zdeněk 	23. 01.
Zdeňka 	23. 06.
Zdislav 	29. 01.
Zikmund 	2. 05.
Zina 	29. 11.
Zita 	19. 09.
Zlata 	25. 09.
Zoe 	27. 10.
Zora 	26. 01.
Zuzana 	11. 08.
Ž
Žaneta 	27. 12.
Žofie 	15. 05.
